,Unnamed: 0,run,sentence,sentence_offset_runsconcatenated,sentence_offset_inrun,mentalizing_event,sentiment,sentence_preprocessed,Topic1,Topic2,Topic3,Dominant_topic,Topic_change
26,26,story1,"Inside the tiny airport terminal, a man stood clutching a piece of paper with Carmen’s name on it.",161,161,0,0,"['inside', 'tiny', 'airport', 'terminal', 'man', 'stood', 'clutching', 'piece', 'paper', 'carmen', 'name']",0.97,0.02,0.02,1,0
27,27,story1,"“Antonio,” the man said, pointing at his chest.",164,164,0,0,"['antonio', 'man', 'pointing', 'chest']",0.91,0.05,0.04,1,0
28,28,story1,He motioned for Carmen to follow him.,167,167,0,0,"['motioned', 'carmen', 'follow']",0.88,0.06,0.06,1,0
29,29,story1,They walked out of the terminal and Carmen was once again hit by a wave of humid air.,172,172,0,0,"['walked', 'terminal', 'carmen', 'hit', 'wave', 'humid', 'air']",0.02,0.95,0.02,2,0
30,30,story1,Antonio led her to a run-down motorcycle with a seat attached to the back.,177,177,0,0,"['antonio', 'led', 'run', 'motorcycle', 'seat', 'attached', 'back']",0.02,0.02,0.95,3,1
31,31,story1,"Carmen sat down apprehensively, but once Antonio started driving, the breeze felt wonderful against Carmen’s skin.",184,184,0,0.25,"['carmen', 'sat', 'apprehensively', 'antonio', 'started', 'driving', 'breeze', 'felt', 'wonderful', 'carmen', 'skin']",0.02,0.02,0.97,3,0
32,32,story1,The main road through the town was full of sights and sounds: children darted between the vehicles; women in flip-flops carried huge baskets full of goods; street vendors sold giant tropical fruits that Carmen could not name.,199,199,0,-0.027027027,"['main', 'road', 'town', 'full', 'sight', 'sound', 'child', 'darted', 'vehicle', 'woman', 'flip', 'flop', 'carried', 'huge', 'basket', 'full', 'good', 'street', 'vendor', 'sold', 'giant', 'tropical', 'fruit', 'carmen', 'name']",0.01,0.99,0.01,2,0
33,33,story1,"Soon, Antonio turned onto a side street, which led down to a river.",204,204,0,0,"['soon', 'antonio', 'turned', 'onto', 'side', 'street', 'led', 'river']",0.96,0.02,0.02,1,0
34,34,story1,"There, a boat was waiting to take her on the final leg of the journey to the remote village.",209,209,0,0,"['boat', 'waiting', 'final', 'leg', 'journey', 'remote', 'village']",0.02,0.02,0.95,3,0
35,35,story1,"Once Carmen and her suitcase were safely inside the boat, the driver set off on the river.",215,215,0,0.058823529,"['carmen', 'suitcase', 'safely', 'inside', 'boat', 'driver', 'set', 'river']",0.02,0.95,0.02,2,0
36,36,story1,"By this time, the sun was setting, and Carmen swatted away mosquitos as the driver whistled to himself.",221,221,0,0,"['time', 'sun', 'setting', 'carmen', 'swatted', 'away', 'mosquito', 'driver', 'whistled']",0.02,0.96,0.02,2,0
37,37,story1,"The water was calm, the air still;",224,224,0,0.285714286,"['water', 'calm', 'air']",0.06,0.88,0.06,2,0
38,38,story1,Carmen suddenly felt very far from everything and everyone she knew.,229,229,0,0,"['carmen', 'suddenly', 'felt', 'far', 'everything', 'everyone', 'knew']",0.02,0.95,0.03,2,0
39,39,story1,"After what felt like a very long time, the driver turned the boat toward shore.",235,235,0,0.133333333,"['felt', 'long', 'time', 'driver', 'turned', 'boat', 'toward', 'shore']",0.03,0.02,0.95,3,0
40,40,story1,She wondered how he had recognized their destination: there was no sign of civilization anywhere.,241,241,0,-0.066666667,"['wondered', 'recognized', 'destination', 'sign', 'civilization', 'anywhere']",0.94,0.03,0.03,1,0
41,41,story1,"Carmen climbed awkwardly onto the muddy riverbank, trying to keep her balance in the fading light.",248,248,0,-0.125,"['carmen', 'climbed', 'awkwardly', 'onto', 'muddy', 'riverbank', 'trying', 'keep', 'balance', 'fading', 'light']",0.02,0.97,0.02,2,0
42,42,story1,"Just as she managed to lift her suitcase up beside her, she looked over her shoulder to see the driver was already motoring back up the river.",257,257,0,0,"['managed', 'lift', 'suitcase', 'beside', 'looked', 'shoulder', 'driver', 'already', 'motoring', 'back', 'river']",0.97,0.02,0.02,1,0
43,43,story1,"“Wait!” she called out, alarmed. “Where do I go from here?”",261,261,1,-0.181818182,"['wait', 'called', 'alarmed', 'go']",0.04,0.04,0.91,3,0
44,44,story1,Her voice was drowned out by the buzzing of insects and rushing of the river.,266,266,0,-0.133333333,"['voice', 'drowned', 'buzzing', 'insect', 'rushing', 'river']",0.94,0.03,0.03,1,0
45,45,story1,"She looked around: Nothing but dense, shadowy rainforest.",271,271,0,0,"['looked', 'around', 'nothing', 'dense', 'shadowy', 'rainforest']",0.03,0.03,0.94,3,0
46,46,story1,"Just as she was about to panic, she heard footsteps from within the brush.",276,276,0,-0.214285714,"['panic', 'heard', 'footstep', 'within', 'brush']",0.03,0.93,0.03,2,1
47,47,story1,"A man emerged from the trees, holding a lantern.",280,280,0,0,"['man', 'emerged', 'tree', 'holding', 'lantern']",0.93,0.03,0.03,1,0
48,48,story1,"When he saw Carmen, he smiled broadly.",283,283,0,0.285714286,"['saw', 'carmen', 'smiled', 'broadly']",0.04,0.91,0.04,2,0
49,49,story1,"“Hello, Dr Carmen!” he said. “I’m Juan. Juan Torres. We thank you very much for coming to serve our village.”",291,291,0,0.1,"['hello', 'dr', 'carmen', 'juan', 'juan', 'torres', 'thank', 'coming', 'serve', 'village']",0.02,0.97,0.02,2,0
50,50,story1,"Though he spoke with a heavy accent, his English was very good.",295,295,0,0.25,"['though', 'spoke', 'heavy', 'accent', 'english', 'good']",0.94,0.03,0.03,1,0
51,51,story1,"With a sigh of relief, Carmen smiled and shook his hand.",299,299,0,0,"['sigh', 'relief', 'carmen', 'smiled', 'shook', 'hand']",0.03,0.94,0.03,2,0
52,52,story1,Juan led her down a narrow path through the forest.,303,303,0,0,"['juan', 'led', 'narrow', 'path', 'forest']",0.03,0.93,0.03,2,0
53,53,story1,"Carmen struggled to keep up, tugging her suitcase over the uneven ground.",308,308,0,-0.166666667,"['carmen', 'struggled', 'keep', 'tugging', 'suitcase', 'uneven', 'ground']",0.02,0.03,0.95,3,1
54,54,story1,"Soon, they emerged into a clearing.",311,311,0,0,"['soon', 'emerged', 'clearing']",0.06,0.06,0.88,3,0
55,55,story1,"It was nearly pitch black now, but Carmen could make out the shapes of huts with thatched roofs.",317,317,0,0,"['nearly', 'pitch', 'black', 'carmen', 'shape', 'hut', 'thatched', 'roof']",0.02,0.02,0.96,3,0
56,56,story1, Juan ushered her toward one of them.,320,320,0,0,"['juan', 'ushered', 'toward', 'one']",0.04,0.91,0.04,2,0
57,57,story1," Inside were a few pieces of simple wooden furniture: a bed frame, covered by a thin mattress, and a small table.",327,327,0,0,"['inside', 'piece', 'simple', 'wooden', 'furniture', 'bed', 'frame', 'covered', 'thin', 'mattress', 'small', 'table']",0.01,0.97,0.01,2,0
58,58,story1,The floor was packed dirt.,329,329,0,-0.4,"['floor', 'packed', 'dirt']",0.06,0.06,0.89,3,0
59,59,story1,Juan put the lantern on the table.,331,331,0,0,"['juan', 'put', 'lantern', 'table']",0.05,0.91,0.04,2,0
60,60,story1,"“You must be very tired from the journey,” he said. “You should rest now. We will see each other tomorrow.”",338,338,0,-0.1,"['tired', 'journey', 'rest', 'tomorrow']",0.91,0.04,0.04,1,0
61,61,story1,He nodded and bowed out of the hut.,341,341,0,0,"['nodded', 'bowed', 'hut']",0.88,0.06,0.06,1,0
62,62,story1,"As soon as Carmen sat down on the bed, she felt completely exhausted.",345,345,0,-0.153846154,"['soon', 'carmen', 'sat', 'bed', 'felt', 'completely', 'exhausted']",0.03,0.95,0.03,2,0
63,63,story1,"She arranged the mosquito net around her as best she could, and fell immediately into a deep sleep.",352,352,0,0.166666667,"['arranged', 'mosquito', 'net', 'around', 'best', 'fell', 'immediately', 'deep', 'sleep']",0.96,0.02,0.02,1,0
64,64,story1,Carmen woke the next morning to sunlight streaming through the wooden slats of the hut.,359,359,0,0,"['carmen', 'woke', 'next', 'morning', 'sunlight', 'streaming', 'wooden', 'slat', 'hut']",0.02,0.96,0.02,2,0
65,65,story1,She had no idea how long she’d slept.,361,361,0,-0.125,"['idea', 'long', 'slept']",0.89,0.06,0.06,1,0
66,66,story1,She propped herself up on one elbow and squinted at her surroundings.,366,366,0,0,"['propped', 'one', 'elbow', 'squinted', 'surroundings']",0.03,0.03,0.93,3,0
67,67,story1,"Suddenly, she heard a rustling in the corner.",369,369,0,0,"['suddenly', 'heard', 'rustling', 'corner']",0.04,0.92,0.04,2,0
68,68,story1,"A small figure stood there, holding a broom made from palm leaves.",373,373,0,0,"['small', 'figure', 'stood', 'holding', 'broom', 'palm', 'leaf']",0.95,0.02,0.02,1,0
69,69,story1,"Carmen nearly screeched in shock, but stopped herself at the last moment, so that what came out was a garbled yell.",380,380,1,-0.142857143,"['carmen', 'nearly', 'screeched', 'shock', 'stopped', 'last', 'moment', 'garbled', 'yell']",0.02,0.96,0.02,2,0
70,70,story1,The noise frightened the girl and she jumped back.,383,383,1,-0.222222222,"['noise', 'frightened', 'girl', 'jumped', 'back']",0.93,0.03,0.04,1,0
71,71,story1,"“Sorry, you startled me!” Carmen said.",387,387,1,-0.5,"['sorry', 'startled', 'carmen']",0.06,0.89,0.06,2,0
72,72,story1,The girl continued to stare at her with huge brown eyes.,391,391,0,0.090909091,"['girl', 'continued', 'stare', 'huge', 'brown', 'eye']",0.94,0.03,0.03,1,0
73,73,story1,She looked to be around 11 or 12 years old.,394,394,0,0,"['looked', 'around', '11', '12', 'year', 'old']",0.03,0.03,0.94,3,0
74,74,story1,It dawned on Carmen that she probably didn’t speak English.,398,398,0,0,"['dawned', 'carmen', 'probably', 'speak', 'english']",0.93,0.03,0.03,1,1
75,75,story1,"“Carmen,” Carmen said, pointing at her chest.",402,402,1,0,"['carmen', 'carmen', 'pointing', 'chest']",0.05,0.91,0.04,2,0
76,76,story1,"“Alba,” the girl answered, pointing at her own.",406,406,1,0,"['alba', 'girl', 'answered', 'pointing']",0.91,0.04,0.04,1,0
77,77,story1,"“Juan?” Carmen asked, holding up her hands, hoping the girl could lead her to the man from the night before.",413,413,1,0.1,"['juan', 'carmen', 'asked', 'holding', 'hand', 'hoping', 'girl', 'lead', 'man', 'night']",0.97,0.02,0.02,1,0
78,78,story1,"Nodding, Alba motioned for Carmen to follow her outside, and Carmen got her first glimpse of the village in daylight.",420,420,0,0,"['nodding', 'alba', 'motioned', 'carmen', 'follow', 'outside', 'carmen', 'first', 'glimpse', 'village', 'daylight']",0.97,0.02,0.02,1,0
79,79,story1,Her hut was near what appeared to be the village center.,424,424,0,0,"['hut', 'near', 'appeared', 'village', 'center']",0.93,0.04,0.03,1,0
80,80,story1,"Women stood around small fires, smoking meats and stirring soups.",429,429,0,0,"['woman', 'stood', 'around', 'small', 'fire', 'smoking', 'meat', 'stirring', 'soup']",0.02,0.02,0.96,3,0
81,81,story1,"Children ran around them, dodging vines on the ground.",433,433,0,-0.222222222,"['child', 'ran', 'around', 'dodging', 'vine', 'ground']",0.03,0.94,0.03,2,1
82,82,story1,A group of teenage boys was hard at work constructing a new hut.,437,437,0,-0.076923077,"['group', 'teenage', 'boy', 'hard', 'work', 'constructing', 'new', 'hut']",0.02,0.96,0.02,2,0
83,83,story1,"Scanning the scene, Carmen spotted Juan across the clearing, deep in conversation with a small group of men.",443,443,0,0,"['scanning', 'scene', 'carmen', 'spotted', 'juan', 'clearing', 'deep', 'conversation', 'small', 'group', 'men']",0.02,0.97,0.02,2,0
84,84,story1,"Their clothing was more decorative than most of the other villagers’, which made Carmen think they were leaders of some sort.",450,450,0,0,"['clothing', 'decorative', 'villager', 'carmen', 'think', 'leader', 'sort']",0.02,0.95,0.03,2,0
85,85,story1,"When Juan noticed her, he whispered something to the other men, who also turned to stare at Carmen.",457,457,0,0,"['juan', 'noticed', 'whispered', 'something', 'men', 'turned', 'stare', 'carmen']",0.95,0.03,0.02,1,0
86,86,story1,"For a brief moment Carmen felt uncomfortable, but then Juan broke into a smile and strode over.",463,463,0,-0.058823529,"['brief', 'moment', 'carmen', 'felt', 'uncomfortable', 'juan', 'broke', 'smile', 'strode']",0.02,0.96,0.02,2,0
87,87,story1,"“Dr Carmen, good morning!” he said.  “I will show you to the clinic now, yes?”",469,469,0,0.25,"['dr', 'carmen', 'good', 'morning', 'show', 'clinic', 'yes']",0.03,0.95,0.03,2,0
88,88,story1,"“Yes, please,” Carmen said, eager to get started.",473,473,0,0.5,"['yes', 'please', 'carmen', 'eager', 'started']",0.03,0.04,0.93,3,0
89,89,story1,Juan led Carmen down a short path to a hut that looked identical to her own.,478,478,0,0,"['juan', 'led', 'carmen', 'short', 'path', 'hut', 'looked', 'identical']",0.02,0.96,0.02,2,0
90,90,story1,"Inside were two mattresses placed directly on the ground, plus a makeshift table.",484,484,0,0,"['inside', 'two', 'mattress', 'placed', 'directly', 'ground', 'plus', 'makeshift', 'table']",0.02,0.02,0.96,3,0
91,91,story1,"The only medical supplies appeared to be an old-fashioned stethoscope, a thermometer, and a half-empty box of bandages.",491,491,0,-0.055555556,"['medical', 'supply', 'appeared', 'old', 'fashioned', 'stethoscope', 'thermometer', 'half', 'empty', 'box', 'bandage']",0.02,0.02,0.97,3,0
92,92,story1,"“Hmm, that’s funny. Dr Torreson said the clinic was well stocked…” Carmen started to say.",498,498,1,0.266666667,"['hmm', 'funny', 'dr', 'torreson', 'clinic', 'stocked', 'carmen', 'started', 'say']",0.02,0.02,0.96,3,0
93,93,story1,"“Dr Torreson?” Juan repeated, looking confused.",502,502,1,-0.333333333,"['dr', 'torreson', 'juan', 'repeated', 'looking', 'confused']",0.03,0.03,0.94,3,0
94,94,story1,"“Ah, sí, Señor Torreson, of course. The organization has promised to send us replacement supplies, but they have not arrived yet.",511,511,1,0.047619048,"['ah', 'sí', 'señor', 'torreson', 'course', 'organization', 'promised', 'send', 'u', 'replacement', 'supply', 'arrived', 'yet']",0.01,0.97,0.01,2,0
95,95,story1,"The shipments are always being delayed, you know,” he added apologetically.",515,515,1,-0.090909091,"['shipment', 'always', 'delayed', 'know', 'apologetically']",0.03,0.03,0.93,3,0
96,96,story1,"“That’s okay,” Carmen said.",518,518,0,0,"['okay', 'carmen']",0.09,0.83,0.09,2,0
97,97,story1,She would have to make do with small bag of supplies she had brought with her until the shipment arrived.,524,524,0,0,"['small', 'bag', 'supply', 'brought', 'shipment', 'arrived']",0.03,0.03,0.94,3,0
98,98,story2,"During Carmen’s first few days in the clinic, most of the patients she saw had fairly minor problems: cuts and scrapes, toothaches, indigestion.",536,10,0,-0.130434783,"['carmen', 'first', 'day', 'clinic', 'patient', 'saw', 'fairly', 'minor', 'problem', 'cut', 'scrape', 'toothache', 'indigestion']",0.01,0.97,0.01,2,0
99,99,story2,"Carmen had a feeling that many of the people came less out of health concerns and more out of curiosity, to see the foreign woman who spoke broken Spanish and wore funny clothes, but she didn’t mind.",549,23,0,0.108108108,"['carmen', 'feeling', 'people', 'le', 'health', 'concern', 'curiosity', 'foreign', 'woman', 'spoke', 'broken', 'spanish', 'wore', 'funny', 'clothes', 'mind']",0.98,0.01,0.01,1,0
100,100,story2,She found them just as interesting as they found her.,552,26,0,0.2,"['found', 'interesting', 'found']",0.06,0.06,0.89,3,0
101,101,story2,Most of them spoke a mix of Spanish and another language native to the region.,556,30,0,0,"['spoke', 'mix', 'spanish', 'language', 'native', 'region']",0.03,0.94,0.03,2,0
102,102,story2,"When Juan was around, he could translate, but mostly Carmen and her patients got by with hand gestures and facial expressions.",563,37,0,0,"['juan', 'around', 'translate', 'mostly', 'carmen', 'patient', 'hand', 'gesture', 'facial', 'expression']",0.02,0.97,0.02,2,0
103,103,story2,"The villagers appreciated her help, and Carmen found it very fulfilling to care for them.",569,43,0,0.4,"['villager', 'appreciated', 'help', 'carmen', 'found', 'fulfilling', 'care']",0.02,0.95,0.03,2,0
104,104,story2,"Though she had been shy in the beginning, Alba proved a wonderful companion.",575,49,0,0.230769231,"['though', 'shy', 'beginning', 'alba', 'proved', 'wonderful', 'companion']",0.02,0.02,0.95,3,0
105,105,story2,"Each morning, she would bring Carmen a potent mix of leaves in hot water, and a breakfast of mashed plantains and fried pork.",582,56,0,0,"['morning', 'bring', 'carmen', 'potent', 'mix', 'leaf', 'hot', 'water', 'breakfast', 'mashed', 'plantain', 'fried', 'pork']",0.97,0.01,0.01,1,0
106,106,story2,"In the evenings, after Carmen left the clinic, Alba would often come by her hut.",588,62,0,0,"['evening', 'carmen', 'left', 'clinic', 'alba', 'often', 'hut']",0.95,0.03,0.02,1,0
107,107,story2,"She was supposed to clean for Carmen, but the two usually ended up playing games or telling stories instead.",594,68,0,0.105263158,"['supposed', 'clean', 'carmen', 'two', 'usually', 'ended', 'playing', 'game', 'telling', 'story', 'instead']",0.02,0.97,0.02,2,0
108,108,story2,"Alba was patient with Carmen’s slow Spanish, and Carmen’s language skills improved.",599,73,0,0.166666667,"['alba', 'patient', 'carmen', 'slow', 'spanish', 'carmen', 'language', 'skill', 'improved']",0.02,0.02,0.96,3,0
109,109,story2,"In turn, Carmen began to teach Alba English.",603,77,0,0,"['turn', 'carmen', 'began', 'teach', 'alba', 'english']",0.94,0.03,0.03,1,0
110,110,story2,"The girl picked up words amazingly fast, and soon she could name most everything she saw: bed, table, hut; man, woman, child; river, tree, fire. Doctor, sick, cure.",621,95,0,-0.142857143,"['girl', 'picked', 'word', 'amazingly', 'fast', 'soon', 'name', 'everything', 'saw', 'bed', 'table', 'hut', 'man', 'woman', 'child', 'river', 'tree', 'fire', 'doctor', 'sick', 'cure']",0.98,0.01,0.01,1,0
111,111,story2,"After Carmen had been in the village for about a week, a patient came to the clinic with a bad fever.",628,102,0,-0.238095238,"['carmen', 'village', 'week', 'patient', 'clinic', 'bad', 'fever']",0.02,0.95,0.03,2,0
112,112,story2,The patient was an older woman named Maria whom Carmen didn’t recognize;,633,107,1,0,"['patient', 'older', 'woman', 'named', 'maria', 'carmen', 'recognize']",0.03,0.95,0.03,2,0
113,113,story2,"According to Alba, Maria had come from another village down the river.",638,112,1,0,"['according', 'alba', 'maria', 'village', 'river']",0.93,0.04,0.04,1,0
114,114,story2,"Carmen gave her medication and had her drink plenty of water, but Maria’s fever just got worse.",644,118,0,-0.294117647,"['carmen', 'gave', 'medication', 'drink', 'plenty', 'water', 'maria', 'fever', 'worse']",0.02,0.02,0.96,3,0
115,115,story2,"She also had a strange rash across her chest and back, like nothing Carmen had ever seen.",650,124,0,-0.058823529,"['strange', 'rash', 'chest', 'back', 'nothing', 'carmen', 'ever', 'seen']",0.02,0.96,0.02,2,0
116,116,story2,Carmen told Maria she should stay in the clinic overnight until she felt better.,655,129,0,0.142857143,"['carmen', 'told', 'maria', 'stay', 'clinic', 'overnight', 'felt', 'better']",0.02,0.96,0.02,2,0
117,117,story2,"That evening, Juan came to the clinic with another man.",659,133,0,0,"['evening', 'juan', 'clinic', 'man']",0.91,0.05,0.04,1,0
118,118,story2,"The two men stood in the doorway, not wanting to come any closer, as if they were afraid Maria might be contagious.",666,140,1,-0.136363636,"['two', 'men', 'stood', 'doorway', 'wanting', 'closer', 'afraid', 'maria', 'contagious']",0.02,0.96,0.02,2,0
119,119,story2,"When Carmen noticed they were there, she rushed over to Juan.",670,144,0,0,"['carmen', 'noticed', 'rushed', 'juan']",0.04,0.91,0.04,2,0
120,120,story2,She wanted to know if anyone in the village had had a fever like this before.,675,149,0,0,"['wanted', 'know', 'anyone', 'village', 'fever']",0.03,0.04,0.93,3,0
121,121,story2,Had Dr Torreson treated any patients with this fever?,678,152,0,-0.222222222,"['dr', 'torreson', 'treated', 'patient', 'fever']",0.92,0.04,0.04,1,0
122,122,story2,"“No,” Juan said. “I have never seen anything like this.” But the other man had a strange expression on his face.",686,160,1,0,"['juan', 'seen', 'anything', 'man', 'strange', 'expression', 'face']",0.03,0.03,0.94,3,0
123,123,story2,"Carmen watched them leave, puzzled.",688,162,1,-0.6,"['carmen', 'watched', 'leave', 'puzzled']",0.04,0.91,0.05,2,0
124,124,story2,"The following morning, Carmen gave Maria more medication, but nothing seemed to help.",694,168,0,0.153846154,"['following', 'morning', 'carmen', 'gave', 'maria', 'medication', 'nothing', 'seemed', 'help']",0.96,0.02,0.02,1,0
125,125,story2,"When Carmen came back from her afternoon break, she found that Maria had disappeared.",699,173,0,-0.071428571,"['carmen', 'back', 'afternoon', 'break', 'found', 'maria', 'disappeared']",0.03,0.03,0.95,3,1
126,126,story2,"Concerned, she called for Alba.",702,176,0,-0.4,"['concerned', 'called', 'alba']",0.06,0.06,0.89,3,0
127,127,story2,"“Maria? She was taken away,” Alba said in cryptic Spanish.",707,181,1,0,"['maria', 'taken', 'away', 'alba', 'cryptic', 'spanish']",0.03,0.03,0.94,3,0
128,128,story2,"If Alba knew any more than that, she wouldn’t say.",710,184,1,0,"['alba', 'knew', 'say']",0.06,0.06,0.88,3,0
129,129,story2,"Carmen was baffled, and a little unsettled, but she had no choice but to accept it.",716,190,1,-0.0625,"['carmen', 'baffled', 'little', 'unsettled', 'choice', 'accept']",0.03,0.94,0.03,2,0
130,130,story2,"Though she was growing more comfortable in her new home, certain aspects of the culture were still quite mysterious to her.",723,197,0,0.19047619,"['though', 'growing', 'comfortable', 'new', 'home', 'certain', 'aspect', 'culture', 'quite', 'mysterious']",0.02,0.02,0.97,3,0
131,131,story2,"The second week Carmen was there, there was a festival in the village.",728,202,0,0,"['second', 'week', 'carmen', 'festival', 'village']",0.03,0.93,0.03,2,0
132,132,story2,"The men made a huge bonfire, and the women cooked a delicious feast.",732,206,0,0.307692308,"['men', 'huge', 'bonfire', 'woman', 'cooked', 'delicious', 'feast']",0.03,0.03,0.95,3,0
133,133,story2,"Some of the villagers played traditional music, and everyone danced late into the night.",737,211,0,0,"['villager', 'played', 'traditional', 'music', 'everyone', 'danced', 'late', 'night']",0.96,0.02,0.02,1,0
134,134,story2,Carmen thoroughly enjoyed herself.,740,214,0,0.5,"['carmen', 'thoroughly', 'enjoyed']",0.06,0.89,0.06,2,0
135,135,story2," At one point, Juan came to sit beside her.",744,218,0,0,"['one', 'point', 'juan', 'sit', 'beside']",0.04,0.04,0.93,3,0
