,run,sentence,sentence_offset_runsconcatenated,sentence_offset_inrun,mentalizing_event,sentiment
94,story1,"“Ah, sí, Señor Torreson, of course. The organization has promised to send us replacement supplies, but they have not arrived yet.",511,511,1,0.047619047619047616
95,story1,"The shipments are always being delayed, you know,” he added apologetically.",515,515,1,-0.09090909090909091
96,story1,"“That’s okay,” Carmen said.",518,518,0,0.0
97,story1,She would have to make do with small bag of supplies she had brought with her until the shipment arrived.,524,524,0,0.0
98,story2,"During Carmen’s first few days in the clinic, most of the patients she saw had fairly minor problems: cuts and scrapes, toothaches, indigestion.",536,10,0,-0.13043478260869565
99,story2,"Carmen had a feeling that many of the people came less out of health concerns and more out of curiosity, to see the foreign woman who spoke broken Spanish and wore funny clothes, but she didn’t mind.",549,23,0,0.10810810810810811
100,story2,She found them just as interesting as they found her.,552,26,0,0.2
101,story2,Most of them spoke a mix of Spanish and another language native to the region.,556,30,0,0.0
102,story2,"When Juan was around, he could translate, but mostly Carmen and her patients got by with hand gestures and facial expressions.",563,37,0,0.0
103,story2,"The villagers appreciated her help, and Carmen found it very fulfilling to care for them.",569,43,0,0.4
104,story2,"Though she had been shy in the beginning, Alba proved a wonderful companion.",575,49,0,0.23076923076923078
105,story2,"Each morning, she would bring Carmen a potent mix of leaves in hot water, and a breakfast of mashed plantains and fried pork.",582,56,0,0.0
106,story2,"In the evenings, after Carmen left the clinic, Alba would often come by her hut.",588,62,0,0.0
107,story2,"She was supposed to clean for Carmen, but the two usually ended up playing games or telling stories instead.",594,68,0,0.10526315789473684
108,story2,"Alba was patient with Carmen’s slow Spanish, and Carmen’s language skills improved.",599,73,0,0.16666666666666666
109,story2,"In turn, Carmen began to teach Alba English.",603,77,0,0.0
110,story2,"The girl picked up words amazingly fast, and soon she could name most everything she saw: bed, table, hut; man, woman, child; river, tree, fire. Doctor, sick, cure.",621,95,0,-0.14285714285714285
111,story2,"After Carmen had been in the village for about a week, a patient came to the clinic with a bad fever.",628,102,0,-0.23809523809523808
112,story2,The patient was an older woman named Maria whom Carmen didn’t recognize;,633,107,1,0.0
113,story2,"According to Alba, Maria had come from another village down the river.",638,112,1,0.0
114,story2,"Carmen gave her medication and had her drink plenty of water, but Maria’s fever just got worse.",644,118,0,-0.29411764705882354
115,story2,"She also had a strange rash across her chest and back, like nothing Carmen had ever seen.",650,124,0,-0.058823529411764705
116,story2,Carmen told Maria she should stay in the clinic overnight until she felt better.,655,129,0,0.14285714285714285
117,story2,"That evening, Juan came to the clinic with another man.",659,133,0,0.0
118,story2,"The two men stood in the doorway, not wanting to come any closer, as if they were afraid Maria might be contagious.",666,140,1,-0.13636363636363635
119,story2,"When Carmen noticed they were there, she rushed over to Juan.",670,144,0,0.0
120,story2,She wanted to know if anyone in the village had had a fever like this before.,675,149,0,0.0
121,story2,Had Dr Torreson treated any patients with this fever?,678,152,0,-0.2222222222222222
122,story2,"“No,” Juan said. “I have never seen anything like this.” But the other man had a strange expression on his face.",686,160,1,0.0
123,story2,"Carmen watched them leave, puzzled.",688,162,1,-0.6
124,story2,"The following morning, Carmen gave Maria more medication, but nothing seemed to help.",694,168,0,0.15384615384615385
125,story2,"When Carmen came back from her afternoon break, she found that Maria had disappeared.",699,173,0,-0.07142857142857142
126,story2,"Concerned, she called for Alba.",702,176,0,-0.4
127,story2,"“Maria? She was taken away,” Alba said in cryptic Spanish.",707,181,1,0.0
128,story2,"If Alba knew any more than that, she wouldn’t say.",710,184,1,0.0
129,story2,"Carmen was baffled, and a little unsettled, but she had no choice but to accept it.",716,190,1,-0.0625
130,story2,"Though she was growing more comfortable in her new home, certain aspects of the culture were still quite mysterious to her.",723,197,0,0.19047619047619047
131,story2,"The second week Carmen was there, there was a festival in the village.",728,202,0,0.0
132,story2,"The men made a huge bonfire, and the women cooked a delicious feast.",732,206,0,0.3076923076923077
133,story2,"Some of the villagers played traditional music, and everyone danced late into the night.",737,211,0,0.0
134,story2,Carmen thoroughly enjoyed herself.,740,214,0,0.5
135,story2," At one point, Juan came to sit beside her.",744,218,0,0.0
136,story2,"“You know, everyone here is so grateful that you came such a long way to care for us,” he said, a look of genuine appreciation in his eyes.",752,226,0,0.25
137,story2,“I don’t know what we’d do without you here.”,755,229,0,0.0
138,story2,"Carmen smiled back, feeling pleased that she had taken a chance on this adventure.",760,234,0,0.7142857142857143
139,story2,"Overall, Carmen was happy in the Amazon, but she still felt homesick from time to time.",767,241,0,0.0625
140,story2,"One morning, she discovered that if she hiked to the top of a small hill behind her hut, her cell phone picked up a weak signal.",775,249,0,0.0
141,story2,"She called Linda, a close friend at home.",778,252,0,0.125
142,story2,"To Carmen’s delight, Linda picked up, and the two women talked for a long time.",783,257,0,0.2
143,story2,"Carmen told Linda all about the Amazon, even mentioning the patient with the strange fever.",788,262,0,-0.2
144,story2,"After they hung up, Carmen headed back down the hill, comforted by the conversation.",793,267,0,0.0
145,story2,"As she was settling in for an afternoon siesta, there was a knock on the door of her hut.",799,273,0,0.0
146,story2,"“Come in!” she called, surprised.",802,276,0,0.0
147,story2,The door swung open and Juan burst inside.,806,280,0,0.0
148,story2,"“Dr Carmen, I am sorry to bother you like this, but there is an emergency,” he said.",811,285,1,-0.17647058823529413
149,story2,“Some of my men have seen loggers working in a part of the rainforest that is strictly off-limits.,816,290,0,-0.05555555555555555
150,story2,"We must contact the authorities to stop them right away, but our satellite phone is not working.",821,295,0,-0.23529411764705882
151,story2,I need to take your cell phone.”,823,297,1,0.0
152,story2," “Of course,” she said, flustered, handing over her cell phone and its solar-powered charger.",829,303,1,-0.13333333333333333
153,story2,"“Thank you. We may need to keep it for a few days, so that we can monitor these criminals and continue to report where they are,” Juan said.",838,312,1,-0.03571428571428571
154,story2,"“Take your time,” Carmen started to say, but Juan was already gone.",842,316,1,0.0
155,story2,"The next day, a second patient with the strange fever came to see Carmen in the clinic.",850,324,0,-0.17647058823529413
156,story2,This time it was a young man that she recognized from the village.,854,328,0,0.0
157,story2,"Along with the rash, this patient had a nasty, hacking cough.",858,332,0,-0.45454545454545453
158,story2,"He slept on one of the beds in the clinic, groaning and thrashing in what seemed to be nightmares.",864,338,0,-0.10526315789473684
159,story2,"Carmen stayed with him late into the evening, then went to her hut for a couple hours’ rest.",870,344,0,0.0
160,story2,"At dawn, she returned to the clinic to find that he hadn’t made it through the night.",875,349,0,0.0
161,story2,"Traumatized and brokenhearted, Carmen ran to find his family.",879,353,0,0.0
162,story2,Four of the men from the village carried his body away.,883,357,0,0.0
163,story2,"Even though she knew that it was not her fault, that she had done the best she could, Carmen felt horribly guilty over the young man’s death.",892,366,0,-0.07407407407407407
164,story2,"Just a few days later, Carmen saw her third patient with the strange fever.",899,373,0,-0.21428571428571427
165,story2,"She recognized the man as Ramiro, a village leader and one of Juan’s close friends.",904,378,0,0.0
166,story2,"Luckily, Ramiro didn’t seem to be as far along in the illness as the other patients she’d seen.",909,383,0,0.05555555555555555
167,story2,"His forehead was warm, but he didn’t yet have the rash or the hacking cough.",915,389,0,-0.06666666666666667
168,story2,"Carmen began treating him with medication, lots of water, and some medicinal plants that Alba had brought her.",922,396,0,0.0
169,story2,Carmen tended to Ramiro round the clock for two days.,925,399,0,0.0
170,story2,"Finally, his fever went down.",928,402,0,-0.4
171,story2,"On the day Ramiro was released from the clinic, his entire family came to show their gratitude, showering Carmen with gifts.",937,411,0,0.0
172,story2,"She was embarrassed at the attention, but also thrilled and proud to have cured the man.",943,417,0,0.3125
173,story2,These were the moments that reminded her why she had become a doctor in the first place.,947,421,0,0.0
174,story2,"When Juan himself came to personally thank her for curing his friend, Carmen thought she noticed tears in his eyes.",955,429,0,0.05
175,story2,"“Here, we would like you to have this,” Juan said, handing her a small package wrapped in leaves and twine.",962,436,0,0.1
176,story2,Carmen opened it carefully.,964,438,0,0.5
177,story2,Inside was a delicate handmade necklace.,968,442,0,0.0
178,story2,"It was beautiful, and Carmen was touched.",971,445,0,0.42857142857142855
179,story2,She felt she had truly become part of her new community.,974,448,0,0.0
180,story3,Another week went by.,982,4,0,0.0
181,story3,Carmen noticed a change in the weather:,985,7,0,0.0
182,story3,"The sky was overcast, and the air was even more humid now.",989,11,0,0.0
183,story3,"According to Alba, it was the start of the rainy season.",994,16,0,-0.09090909090909091
184,story3,But Carmen didn’t mind.,996,18,0,0.0
185,story3,She was enjoying the time spent with Alba more and more.,999,21,0,0.18181818181818182
186,story3,She had even begun teaching the girl to read.,1003,25,0,0.0
187,story3,"Carmen thought that if she ever had a daughter, she’d like her to be like Alba.",1008,30,0,0.25
188,story3,Carmen felt frustrated that she was unable to do more for the victims of this fever.,1014,36,0,-0.5625
189,story3,"So far one of her patients had recovered, but one had died, and it was impossible to know what had happened to Maria.",1021,43,0,-0.13043478260869565
190,story3,"She racked her brain for medicines that might help, and wrote out a list to give to Juan.",1027,49,0,0.1111111111111111
191,story3,"He still had not returned her cell phone, but Carmen didn’t want to pressure him.",1032,54,0,0.0
192,story3,"The following morning on her walk to the clinic, Carmen spotted Juan in the center of the village, conversing with his group of leaders.",1041,63,1,0.0
193,story3,"As she walked over to them, the men suddenly stopped talking, giving Carmen the feeling that she had interrupted something important.",1049,71,1,0.0
194,story3,"When Carmen gave Juan her list of medicines, he told her he’d put in the order right away.",1055,77,1,0.0
195,story3,But then Carmen remembered that replacement shipment Juan promised had never arrived.,1061,83,1,0.08333333333333333
196,story3,"That night in her hut, Carmen continued to turn things over in her mind.",1067,89,0,0.0
197,story3,What if this was an unknown disease?,1069,91,0,-0.14285714285714285
198,story3,It didn’t seem like any of the tropical fevers she was familiar with.,1075,97,0,0.15384615384615385
199,story3,"At times, Carmen felt like there was something the villagers weren’t telling her.",1080,102,1,0.15384615384615385
200,story3,Did they know more about the disease than they were letting on?,1083,105,1,-0.08333333333333333
201,story3,Did they think that having a foreigner come and see what was happening—or maybe even get sick herself—was the only way to get medical help?,1092,114,1,0.0
202,story3,"But Carmen quickly put the idea out of her head, ashamed at herself for being so distrustful.",1098,120,1,-0.29411764705882354
203,story3,Juan and the villagers had been so welcoming.,1101,123,1,0.0
204,story3,"There was no reason to think that they had known about the fever before she came, and besides, Dr Torreson hadn’t mentioned anything about it in his email.",1111,133,1,-0.10714285714285714
205,story3,"Lost in her thoughts, Carmen suddenly realized that Alba hadn’t come by that evening.",1118,140,0,-0.21428571428571427
206,story3,"Carmen reasoned that the girl was probably helping her family prepare for the rainy season, although she missed her company.",1125,147,0,-0.05
207,story3,"Alba didn’t come the next morning at breakfast, either.",1130,152,0,0.0
208,story3,Carmen spent the day in the clinic and returned home in the evening to wait for the girl.,1135,157,0,0.0
209,story3,Hours passed with no sign of Alba.,1137,159,0,-0.14285714285714285
210,story3,"Worried and lonely, Carmen decided to go check on her.",1141,163,0,-0.5
211,story3,"Carmen had never been inside Alba’s family’s hut, though she knew which one it was.",1147,169,0,0.0
212,story3,"Carmen crossed the clearing carefully, avoiding the slippery patches of mud left by the rain.",1153,175,0,0.13333333333333333
213,story3,"She knocked once, twice, three times; no answer.",1158,180,0,-0.125
214,story3,"Not wanting to invade the family’s privacy, she almost walked away.",1163,185,0,0.0
215,story3,"But concern and curiosity got the better of her, and she pushed open the door.",1169,191,0,0.13333333333333333
216,story3,Carmen was horrified by what she saw inside.,1172,194,0,-0.375
217,story3,"Alba lay on the ground, coughing and flailing.",1176,198,0,0.0
218,story3,"A woman and a man were bent over her, trying to get her to drink.",1180,202,0,0.0
219,story3,"Alba’s shirt was off, and by the light of the fire, Carmen could see the telltale rash across her chest.",1188,210,0,-0.2
220,story3,"Carmen gasped, and the man looked up at her.",1191,213,0,0.0
221,story3,"She was shocked to see that it was Juan, and his eyes were filled with tears.",1196,218,0,-0.25
222,story3,“Alba… Alba is your daughter?” Carmen said in shock.,1202,224,1,-0.2222222222222222
223,story3,How could she not have known?,1205,227,1,0.0
224,story3,"Juan nodded, a desperate look in his eyes.",1208,230,1,-0.375
225,story3,"“I’ll be right back,” she said, intending to sprint to the clinic to retrieve the last of her anti-fever medication.",1215,237,0,-0.15
226,story3,"As she turned to leave, she saw her cell phone sitting on a table near the door, and grabbed it on instinct.",1222,244,0,-0.045454545454545456
227,story3,She looked behind her but Juan had already turned his attention back to Alba.,1228,250,0,0.0
228,story3,Carmen didn’t go straight to the clinic.,1231,253,0,0.14285714285714285
229,story3,"On a whim, she took a lantern and set off down the path that led to the river.",1236,258,0,0.0
230,story3,"Arriving at the shore out of breath, she sat on a rock and stared out at the muddy water.",1243,265,0,-0.10526315789473684
231,story3,"Carmen wildly hoped that a boat would pass by, but none did.",1247,269,0,0.0
232,story3,It dawned on her just how isolated she was.,1251,273,0,-0.1111111111111111
233,story3,How long had Alba been sick?,1254,276,1,-0.3333333333333333
234,story3,Why hadn’t she told Carmen?,1256,278,1,0.0
235,story3,"With a jolt, Carmen thought about Alba’s hands preparing her breakfast, folding her clothes, making the bed.",1263,285,1,0.0
236,story3,Was the fever contagious?,1265,287,1,-0.75
237,story3,What if Carmen already been infected?,1268,290,1,-0.3333333333333333
238,story3,"Carmen turned the cell phone over in her hands, trying not to panic.",1275,297,0,-0.23076923076923078
239,story3,She was completely torn.,1277,299,0,-0.5
240,story3,"Part of her felt anxious and scared, and wanted to leave right away.",1282,304,0,-0.38461538461538464
241,story3,"But another part of her felt wracked with guilt to think about leaving the villagers, especially Alba, in this predicament.",1289,311,0,-0.15
242,story3,"Carmen pictured Alba’s wide, trusting eyes;",1293,315,0,0.0
243,story3,"If she left now, the decision would haunt her for a long time.",1297,319,0,-0.07692307692307693
244,story3,"On the other hand, she wasn’t even sure if the disease could be treated, and she could be risking her life if she stayed.",1305,327,0,-0.041666666666666664
245,story3,What was she going to do?,1307,329,0,0.0
